grid_id,lon,lat,landcover_class,lc_pct_10,lc_pct_20,lc_pct_30,lc_pct_40,lc_pct_50,lc_pct_60,lc_pct_70,lc_pct_80,lc_pct_90,lc_pct_95,lc_pct_100,forest_pct,forest_area_km2,population_total,land_area_km2,nightlight_mean,nightlight_p90,cell_area_km2,land_fraction
9.0_53.5,9.0,53.5,30.0,11.636882745761687,0.0,48.41664724420618,29.912700262456564,1.6943141169198355,0.032300396218193625,0.0,7.9766778472482605,0.330477387189283,0.0,0.0,11.38593595541131,192.259927197059,170342.87836954332,1688.5737628419122,1.2110064042363877,1.1957099744257071,1827.7714916539067,0.9238429259633338
9.0_54.0,9.0,54.0,30.0,11.523485140506429,0.0,54.15958394681793,30.404741894103637,1.8570733464350504,0.0,0.0,1.1428824194781653,0.9122332526587855,0.0,0.0,10.776297498832928,193.15919109705877,128240.68483679251,1792.4448644627514,0.9191126683817505,1.1153311372091492,1805.9484012914063,0.9925227449361239
9.0_54.5,9.0,54.5,40.0,14.387103148465325,0.0,35.37349391485867,46.833041151971436,2.091418988072925,0.03230039621819368,0.0,1.2652888542099476,0.017353546203500134,0.0,0.0,14.533239097863515,257.8858365593137,165803.65980854182,1774.455335268135,1.141338238010096,1.3677341572272734,1783.9877895255902,0.9946566594718734
9.0_55.0,9.0,55.0,40.0,12.761696543477608,0.0,21.597438261909357,60.99720823242095,2.950102854595018,0.032300396218193625,0.0,1.6612537113788608,0.0,0.0,0.0,13.093545389988973,228.0132952169118,145008.4471557401,1741.4175337968095,1.201248232497589,1.5648677069524743,1761.891328808702,0.9883796493704661
9.0_55.5,9.0,55.5,40.0,27.319133843805645,0.0,24.764239073296505,45.90931833583497,1.747512555971452,0.0,0.0,0.25979619109143565,0.0,0.0,0.0,26.79755948784838,466.2555091426465,86184.18746075023,1739.917806149753,1.2271482430732545,1.3714693311352768,1739.660701932438,1.0
9.0_56.0,9.0,56.0,40.0,31.500443604138283,0.0,21.303614805003754,43.760094837762196,2.4112602149015614,0.0,0.0,0.9923588871223364,0.03222765107185377,0.0,0.0,31.29234904165974,533.9476693323531,113833.71725485103,1706.3201890708317,1.131103279740329,1.681257445929402,1717.297601899902,0.9936077399648577
9.0_56.5,9.0,56.5,40.0,9.729386013801772,0.0,21.163599606821844,39.43891045063485,0.9411448780438375,0.0,0.0,28.521123192444502,0.20583585825319461,0.0,0.0,13.442424662642583,163.49104390759808,61003.53442734617,1216.2318034926457,0.9505177446232401,1.1822782358377433,1694.803731796536,0.7176239824557197
9.0_57.0,9.0,57.0,40.0,5.756246840717528,0.0,9.88865663893331,11.44746369386726,0.0,0.03483749333989105,0.0,71.470961924669,1.401833408473028,0.0,0.0,22.350398451584788,98.38662913063726,10360.822252932223,440.2007836404411,0.7362571077143407,0.8569134850251047,1672.1808046603826,0.2632495136970821
9.0_58.5,9.0,58.5,10.0,49.219844500910845,0.0,0.6534863159281452,0.0,0.193803850236492,0.0,0.0,49.93286533292453,0.0,0.0,0.0,98.31775553610674,789.0472124740215,19478.14312507248,802.5480323177716,1.2369266682536002,2.3138675714349115,1603.5549579796677,0.5004805281690554
9.0_59.0,9.0,59.0,10.0,86.97991677908455,0.0,2.2444313554115802,2.4424135332155363,0.16150177651954198,0.0,0.0,8.171736555768792,0.0,0.0,0.0,94.79804553545014,1370.8424407432656,19945.533848335464,1446.0661430310113,1.0064797580740887,1.3623576190304432,1580.4331275627753,0.9149809111259426
